90	259	63	'Se reasignó técnico para atender su solicitud'	2006-10-24 09:45:10.377000000	265
91	265	62	'Se inicio el seguimiento de su solicitud'	2006-10-24 09:45:52.033000000	
92	265	62	'SE REVISO Y SE CONCLUYO CON EL INCONVENIENTE'	2006-10-24 09:46:15.830000000	3
93	263	62	'Actividad concluida'	2006-10-24 09:47:24.410000000	
94	259	65	'Se inicio el seguimiento de su solicitud'	2006-10-24 11:13:41.290000000	
95	259	65	'SE REINSTALO OFFICE'	2006-10-24 11:14:20.887000000	3
96	259	63	're dio el soporte requerido'	2006-10-24 11:34:24.230000000	3
97	259	59	'Se inicio el seguimiento de su solicitud'	2006-10-24 11:35:35.653000000	
98	259	59	'dfdf'	2006-10-24 11:36:31.420000000	3
99	263	59	'Actividad concluida'	2006-10-24 11:37:45.887000000	
100	260	59	'Se reasignó técnico para atender su solicitud'	2006-10-24 11:51:47.603000000	263
101	260	59	'Se inicio el seguimiento de su solicitud'	2006-10-24 11:51:47.603000000	
102	263	59	'Se reasignó técnico para atender su solicitud'	2006-10-24 11:59:55.537000000	263
103	263	59	'Se inicio el seguimiento de su solicitud'	2006-10-24 11:59:55.537000000	
104	263	64	'Se inicio el seguimiento de su solicitud'	2006-10-24 12:05:27.263000000	
105	263	64	'SE ATENDIO AL USUARIO'	2006-10-24 12:05:51.317000000	3
106	263	64	'Actividad concluida'	2006-10-24 12:05:56.037000000	
107	263	59	'SE ATENDIO AL USUARIO'	2006-10-24 12:06:18.897000000	3
108	263	65	'Actividad concluida'	2006-10-24 14:20:26.717000000	
109	263	63	'Actividad concluida'	2006-10-24 14:20:29.763000000	
110	263	59	'Actividad concluida'	2006-10-24 14:20:32.340000000	
111	263	66	'Se inicio el seguimiento de su solicitud'	2006-10-24 14:22:19.793000000	
112	263	66	'se instalo el antivirus, previamente se le desinstalo panda antivirus'	2006-10-24 14:22:38.480000000	3
113	263	66	'Actividad concluida'	2006-10-24 14:23:04.247000000	
114	265	70	'Se inicio el seguimiento de su solicitud'	2006-10-24 16:34:56.547000000	
115	258	69	'Se inicio el seguimiento de su solicitud'	2006-10-24 17:18:19.357000000	
116	258	72	'Se inicio el seguimiento de su solicitud'	2006-10-24 17:22:27.297000000	
117	258	71	'Se inicio el seguimiento de su solicitud'	2006-10-24 17:22:32.310000000	
118	265	70	'se procedera a formatear por problemas de pantalla azul'	2006-10-24 17:28:55.920000000	3
119	265	70	'Se inicio el seguimiento de su solicitud'	2006-10-24 17:28:55.920000000	
120	258	72	'LA IMPRESORA YA FUE INSTALADA Y CONFIGURADA AL USUARIO SE LE INSTRUYO EN LA FORMA CORRECTA DE USARSE...'	2006-10-24 17:29:21.857000000	3
