Page,Device,Group,ItemID,Item,Value
Report,,,257,Version,AIDA32 v3.02
Report,,,258,Author,fiery@aida32.hu
Report,,,259,Homepage,http://www.aida32.hu
Report,,,260,Report Type,Quick Report
Report,,,261,Computer,EREYES1 (Edgar Reyes)
Report,,,262,Generator,Administrador
Report,,,263,Operating System,Microsoft Windows XP Professional 5.1.2600 (WinXP Retail)
Report,,,264,Date,2009-11-25
Report,,,265,Time,15:36
Summary,,Computer,513,Operating System,Microsoft Windows XP Professional
Summary,,Computer,540,OS Service Pack,Service Pack 3
Summary,,Computer,514,Computer Name,EREYES1 (Edgar Reyes)
Summary,,Computer,515,User Name,Administrador
Summary,,Computer,516,Logon Domain,EREYES1
Summary,,Motherboard,517,CPU Type,Dual Unknown; 3400 MHz (3 x 1133)
Summary,,Motherboard,518,Motherboard Name,Dell Inc. 0HH807
Summary,,Motherboard,519,Motherboard Chipset,Unknown
Summary,,Motherboard,520,System Memory,1014 MB
Summary,,Motherboard,521,BIOS Type,Phoenix (03/31/06)
Summary,,Motherboard,522,Communication Port,Puerto de comunicaciones (COM1)
Summary,,Motherboard,522,Communication Port,Puerto de impresora ECP (LPT1)
Summary,,Display,523,Video Adapter,Intel(R) 82945G Express Chipset Family  (224 MB)
Summary,,Display,523,Video Adapter,Intel(R) 82945G Express Chipset Family  (224 MB)
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Multimedia,526,Audio Adapter,SoundMAX Integrated Digital Audio [NoDB]
Summary,,Storage,527,Floppy Drive,Unidad de disquete
Summary,,Storage,528,Disk Drive,SAMSUNG HD160JJ/P
Summary,,Storage,529,Optical Drive,HL-DT-ST CDRW/DVD GCC4482
Summary,,Partitions,530,C: (NTFS),152539 MB (134325 MB free)
Summary,,Input,531,Keyboard,Dispositivo de teclado HID
Summary,,Input,532,Mouse,Mouse compatible con HID
Summary,,Network,534,Network Adapter,Broadcom NetXtreme 57xx Gigabit Controller  (128.5.7.67)
Summary,,Peripherals,536,Printer,hp LaserJet 1010
Summary,,Peripherals,536,Printer,Microsoft Office Document Image Writer
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Computer Name,Computer Comment,,0,Class,Logical
Computer Name,Computer Comment,,0,Computer Name,Edgar Reyes
Computer Name,NetBIOS Name,,0,Class,Logical
Computer Name,NetBIOS Name,,0,Computer Name,EREYES1
Computer Name,DNS Host Name,,0,Class,Logical
Computer Name,DNS Host Name,,0,Computer Name,Ereyes1
Computer Name,DNS Domain Name,,0,Class,Logical
