Page,Device,Group,ItemID,Item,Value
Report,,,257,Version,AIDA32 v3.02
Report,,,258,Author,fiery@aida32.hu
Report,,,259,Homepage,http://www.aida32.hu
Report,,,260,Report Type,Quick Report
Report,,,261,Computer,ACHAVEZ (Ana Lucrecia Chavez)
Report,,,262,Generator,achavez
Report,,,263,Operating System,Microsoft Windows XP Professional 5.1.2600 (WinXP Retail)
Report,,,264,Date,2009-10-13
Report,,,265,Time,12:25
Summary,,Computer,513,Operating System,Microsoft Windows XP Professional
Summary,,Computer,540,OS Service Pack,Service Pack 2
Summary,,Computer,514,Computer Name,ACHAVEZ (Ana Lucrecia Chavez)
Summary,,Computer,515,User Name,achavez
Summary,,Computer,516,Logon Domain,MASTER
Summary,,Motherboard,517,CPU Type,Dual Unknown; 2666 MHz (4.5 x 592)
Summary,,Motherboard,518,Motherboard Name,Dell Inc. 0DR845
Summary,,Motherboard,519,Motherboard Chipset,Unknown
Summary,,Motherboard,520,System Memory,1005 MB
Summary,,Motherboard,521,BIOS Type,Phoenix (03/11/08)
Summary,,Motherboard,522,Communication Port,Puerto de comunicaciones (COM1)
Summary,,Motherboard,522,Communication Port,Intel(R) Active Management Technology - SOL (COM3)
Summary,,Motherboard,522,Communication Port,Puerto de impresora ECP (LPT1)
Summary,,Display,523,Video Adapter,ATI Radeon HD 2400 PRO  (256 MB)
Summary,,Display,523,Video Adapter,ATI Radeon HD 2400 PRO  (256 MB)
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Storage,527,Floppy Drive,Unidad de disquete
Summary,,Storage,528,Disk Drive,SAMSUNG HD161HJ
Summary,,Storage,529,Optical Drive,Optiarc DVD+-RW AD-7200S
Summary,,Partitions,530,C: (NTFS),152491 MB (125555 MB free)
Summary,,Input,531,Keyboard,Dispositivo de teclado HID
Summary,,Input,532,Mouse,Mouse compatible con HID
Summary,,Network,534,Network Adapter,Intel(R) 82566DM-2 Gigabit Network Connection  (128.5.7.58)
Summary,,Peripherals,536,Printer,hp LaserJet 1010 Series Driver
Summary,,Peripherals,537,USB Device,Concentrador USB genérico
Summary,,Peripherals,537,USB Device,Dispositivo compuesto USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Summary,,Peripherals,537,USB Device,hp LaserJet 1015 (DOT4)
Computer Name,Computer Comment,,0,Class,Logical
Computer Name,Computer Comment,,0,Computer Name,Ana Lucrecia Chavez
Computer Name,NetBIOS Name,,0,Class,Logical
Computer Name,NetBIOS Name,,0,Computer Name,ACHAVEZ
Computer Name,DNS Host Name,,0,Class,Logical
Computer Name,DNS Host Name,,0,Computer Name,Achavez
