Page,Device,Group,ItemID,Item,Value
Report,,,257,Version,AIDA32 v3.02
Report,,,258,Author,fiery@aida32.hu
Report,,,259,Homepage,http://www.aida32.hu
Report,,,260,Report Type,Quick Report
Report,,,261,Computer,CLARA (Cinthia Lara)
Report,,,262,Generator,Clara
Report,,,263,Operating System,Microsoft Windows XP Professional 5.1.2600 (WinXP Retail)
Report,,,264,Date,2009-11-25
Report,,,265,Time,15:13
Summary,,Computer,513,Operating System,Microsoft Windows XP Professional
Summary,,Computer,540,OS Service Pack,Service Pack 2
Summary,,Computer,514,Computer Name,CLARA (Cinthia Lara)
Summary,,Computer,515,User Name,Clara
Summary,,Computer,516,Logon Domain,MASTER
Summary,,Motherboard,517,CPU Type,Dual Unknown; 2666 MHz (9 x 296)
Summary,,Motherboard,518,Motherboard Name,Dell Inc. 0PU052
Summary,,Motherboard,519,Motherboard Chipset,Unknown
Summary,,Motherboard,520,System Memory,996 MB
Summary,,Motherboard,521,BIOS Type,Phoenix (03/11/08)
Summary,,Motherboard,522,Communication Port,Puerto de comunicaciones (COM1)
Summary,,Motherboard,522,Communication Port,Intel(R) Active Management Technology - SOL (COM3)
Summary,,Motherboard,522,Communication Port,Puerto de impresora ECP (LPT1)
Summary,,Display,523,Video Adapter,Intel(R) Q35 Express Chipset Family  (384 MB)
Summary,,Display,523,Video Adapter,Intel(R) Q35 Express Chipset Family  (384 MB)
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Storage,527,Floppy Drive,Unidad de disquete
Summary,,Storage,528,Disk Drive,ST3160815AS
Summary,,Storage,529,Optical Drive,TSSTcorp CDRWDVD TS-L463A
Summary,,Partitions,530,C: (NTFS),152523 MB (123516 MB free)
Summary,,Input,531,Keyboard,Dispositivo de teclado HID
Summary,,Input,532,Mouse,Mouse compatible con HID
Summary,,Network,534,Network Adapter,Intel(R) 82566DM-2 Gigabit Network Connection  (128.5.7.36)
Summary,,Peripherals,536,Printer,Enviar a OneNote 2007
Summary,,Peripherals,536,Printer,hp LaserJet 1320 PCL 6
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Computer Name,Computer Comment,,0,Class,Logical
Computer Name,Computer Comment,,0,Computer Name,Cinthia Lara
Computer Name,NetBIOS Name,,0,Class,Logical
Computer Name,NetBIOS Name,,0,Computer Name,CLARA
Computer Name,DNS Host Name,,0,Class,Logical
Computer Name,DNS Host Name,,0,Computer Name,clara
Computer Name,DNS Domain Name,,0,Class,Logical
Computer Name,DNS Domain Name,,0,Computer Name,mineco.gob.gt
Computer Name,Fully Qualified DNS Name,,0,Class,Logical
Computer Name,Fully Qualified DNS Name,,0,Computer Name,clara.mineco.gob.gt
Computer Name,NetBIOS Name,,0,Class,Physical
Computer Name,NetBIOS Name,,0,Computer Name,CLARA
Computer Name,DNS Host Name,,0,Class,Physical
Computer Name,DNS Host Name,,0,Computer Name,clara
Computer Name,DNS Domain Name,,0,Class,Physical
Computer Name,DNS Domain Name,,0,Computer Name,mineco.gob.gt
Computer Name,Fully Qualified DNS Name,,0,Class,Physical
Computer Name,Fully Qualified DNS Name,,0,Computer Name,clara.mineco.gob.gt
