Page,Device,Group,ItemID,Item,Value
Report,,,257,Version,AIDA32 v3.02
Report,,,258,Author,fiery@aida32.hu
Report,,,259,Homepage,http://www.aida32.hu
Report,,,260,Report Type,Quick Report
Report,,,261,Computer,LPRADO
Report,,,262,Generator,Lprado
Report,,,263,Operating System,Microsoft Windows XP Professional 5.1.2600 (WinXP Retail)
Report,,,264,Date,2009-11-25
Report,,,265,Time,16:06
Summary,,Computer,513,Operating System,Microsoft Windows XP Professional
Summary,,Computer,540,OS Service Pack,Service Pack 2
Summary,,Computer,514,Computer Name,LPRADO
Summary,,Computer,515,User Name,Lprado
Summary,,Computer,516,Logon Domain,MASTER
Summary,,Motherboard,517,CPU Type,Dual Unknown; 3000 MHz (3.75 x 800)
Summary,,Motherboard,518,Motherboard Name,Hewlett-Packard 09E8h
Summary,,Motherboard,519,Motherboard Chipset,Unknown
Summary,,Motherboard,520,System Memory,503 MB
Summary,,Motherboard,521,BIOS Type,Compaq (08/25/05)
Summary,,Motherboard,522,Communication Port,Puerto de comunicaciones (COM1)
Summary,,Motherboard,522,Communication Port,Puerto de impresora ECP (LPT1)
Summary,,Display,523,Video Adapter,Intel(R) 82915G/GV/910GL Express Chipset Family  (128 MB)
Summary,,Display,525,Monitor,Monitor Plug and Play [NoDB]
Summary,,Multimedia,526,Audio Adapter,SoundMAX Integrated Digital Audio [NoDB]
Summary,,Storage,527,Floppy Drive,Unidad de disquete
Summary,,Storage,528,Disk Drive,ST3808110AS
Summary,,Storage,529,Optical Drive,TSSTcorp CDW/DVD SH-M522C
Summary,,Partitions,530,C: (NTFS),76308 MB (67958 MB free)
Summary,,Input,531,Keyboard,Teclado estándar de 101/102 teclas o Microsoft Natural PS/2 Keyboard
Summary,,Input,532,Mouse,Mouse compatible con HID
Summary,,Input,532,Mouse,Mouse compatible PS/2
Summary,,Network,534,Network Adapter,Broadcom NetXtreme Gigabit Ethernet  (128.5.7.48)
Summary,,Peripherals,536,Printer,\\mlaynez\HP LaserJet P2015 Series PCL 6
Summary,,Peripherals,536,Printer,HP Deskjet 3840 Series
Summary,,Peripherals,536,Printer,Microsoft Office Document Image Writer
Summary,,Peripherals,537,USB Device,Compatibilidad con impresoras USB
Summary,,Peripherals,537,USB Device,Dispositivo de interfaz humana USB
Computer Name,Computer Comment,,0,Class,Logical
Computer Name,Computer Comment,,0,Computer Name,
Computer Name,NetBIOS Name,,0,Class,Logical
Computer Name,NetBIOS Name,,0,Computer Name,LPRADO
Computer Name,DNS Host Name,,0,Class,Logical
Computer Name,DNS Host Name,,0,Computer Name,LPrado
Computer Name,DNS Domain Name,,0,Class,Logical
Computer Name,DNS Domain Name,,0,Computer Name,mineco.gob.gt
Computer Name,Fully Qualified DNS Name,,0,Class,Logical
